	Run	Cell	Method	Species	CellLine	Layout	SRR	TotalReads	UniqReads	Background	GC.Mean	GC.Median	Spikiness	GenomicDepth	GenomicCoverage
154	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009491	OP-Strand-seq	Human	HG001	PAIRED	SRR15009491	12394896	7550778	0.008641	0.4460082741874804	0.4383561643835616	0.1755776868287066	0.304860380522609	0.1548892171334301
155	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009492	OP-Strand-seq	Human	HG001	PAIRED	SRR15009492	450712	415910	0.048746	0.434746503260829	0.4313725490196079	0.1893311165629245	0.01098946757357578	0.009088783014564259
156	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009493	OP-Strand-seq	Human	HG001	PAIRED	SRR15009493	546	544	0.119048	0.4422689139508729	0.4368022328548644	1.859922178988327	1.293529749999207e-05	1.105390719163591e-05
157	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009494	OP-Strand-seq	Human	HG001	PAIRED	SRR15009494	28	28	0.0	0.4456133512054564	0.4544534412955466	2.0	7.078257122397445e-07	6.806952918197447e-07
158	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009495	OP-Strand-seq	Human	HG001	PAIRED	SRR15009495	0	0	0.0			0.0	0.0	0.0
159	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009496	OP-Strand-seq	Human	HG001	PAIRED	SRR15009496	150	150	0.0	0.4615039413923066	0.4533333333333333	2.0	3.737041499903596e-06	3.349563444161544e-06
160	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009497	OP-Strand-seq	Human	HG001	PAIRED	SRR15009497	0	0	0.0			0.0	0.0	0.0
161	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009498	OP-Strand-seq	Human	HG001	PAIRED	SRR15009498	0	0	0.0			0.0	0.0	0.0
162	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009499	OP-Strand-seq	Human	HG001	PAIRED	SRR15009499	138	138	0.0	0.4602795411591521	0.4605263157894737	2.0	3.171476581917441e-06	2.763824623811799e-06
163	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009500	OP-Strand-seq	Human	HG001	PAIRED	SRR15009500	40	36	0.0	0.4835395794523384	0.4868421052631579	2.0	9.0121691420795e-07	6.587822599420522e-07
164	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009501	OP-Strand-seq	Human	HG001	PAIRED	SRR15009501	50	46	0.0	0.4664708917984953	0.453125	1.818181818181818	1.098782027010002e-06	7.596517717600011e-07
165	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009502	OP-Strand-seq	Human	HG001	PAIRED	SRR15009502	1900292	1723728	0.493784	0.4403068748622891	0.4342105263157895	0.1219173077064549	0.04641833194827783	0.03835416021738022
166	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009503	OP-Strand-seq	Human	HG001	PAIRED	SRR15009503	434462	403710	0.007427	0.4329498525067993	0.4266666666666667	0.168132057806673	0.01058021248588403	0.008766894837142977
167	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009504	OP-Strand-seq	Human	HG001	PAIRED	SRR15009504	1424736	1325482	0.485929	0.440647840624539	0.4342105263157895	0.1586191431941749	0.03512327184082792	0.02982473029800365
168	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009505	OP-Strand-seq	Human	HG001	PAIRED	SRR15009505	1863614	1708748	0.495796	0.4386136096415087	0.4342105263157895	0.1218737972573446	0.04551139364579439	0.03806866715112647
169	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009506	OP-Strand-seq	Human	HG001	PAIRED	SRR15009506	1672738	1551380	0.494074	0.4395660978995203	0.4342105263157895	0.1195466265724179	0.04090011539131282	0.03457614030438764
170	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009507	OP-Strand-seq	Human	HG001	PAIRED	SRR15009507	1528730	1431020	0.491788	0.4369251295130986	0.4328358208955224	0.1220854143458919	0.03735906787460824	0.03182891462831024
171	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009508	OP-Strand-seq	Human	HG001	PAIRED	SRR15009508	1817754	1687912	0.493949	0.4416997632193594	0.4342105263157895	0.1219286908830021	0.04443488082438657	0.03716440084722849
172	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009509	OP-Strand-seq	Human	HG001	PAIRED	SRR15009509	1379806	1310188	0.494268	0.4365459779543713	0.4306623931623932	0.1259961939354128	0.03376158803995235	0.02943770963332381
173	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009510	OP-Strand-seq	Human	HG001	PAIRED	SRR15009510	1820180	1687010	0.495892	0.4377320936174962	0.4342105263157895	0.1209431435697205	0.04446285924435765	0.03761496060870607
174	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009511	OP-Strand-seq	Human	HG001	PAIRED	SRR15009511	409656	400110	0.4893149999999999	0.4452021553091595	0.4342105263157895	0.1807420801160584	0.01003963398945289	0.008863696177201537
175	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009512	OP-Strand-seq	Human	HG001	PAIRED	SRR15009512	914532	873262	0.493521	0.4420227369045642	0.4342105263157895	0.1394471875302546	0.02230832349451536	0.01947695734124206
176	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009513	OP-Strand-seq	Human	HG001	PAIRED	SRR15009513	864516	829334	0.492655	0.4377607483468821	0.4342105263157895	0.1436019500273666	0.02113191020425484	0.01865004890943497
177	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009514	OP-Strand-seq	Human	HG001	PAIRED	SRR15009514	371070	349056	0.023345	0.4322603721577239	0.4266666666666667	0.1800896546300385	0.009038432432523771	0.007592805719565111
178	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009515	OP-Strand-seq	Human	HG001	PAIRED	SRR15009515	1504724	1417340	0.494514	0.4374198430773218	0.4342105263157895	0.1209412625844106	0.03684406953854823	0.03175394840712713
179	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009516	OP-Strand-seq	Human	HG001	PAIRED	SRR15009516	1537714	1412636	0.4960310000000001	0.4407530793015091	0.4342105263157895	0.1243030555717447	0.03745697217060465	0.03103657869993991
180	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009517	OP-Strand-seq	Human	HG001	PAIRED	SRR15009517	1845000	1679624	0.495198	0.4423276526923869	0.4342105263157895	0.119487720003923	0.04561590002525223	0.03726864218334838
181	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009518	OP-Strand-seq	Human	HG001	PAIRED	SRR15009518	1370108	1276786	0.494528	0.448118645730177	0.4473684210526316	0.134030083904005	0.03348797218480221	0.02848902143989891
182	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009519	OP-Strand-seq	Human	HG001	PAIRED	SRR15009519	1832056	1675478	0.495273	0.4407356508436633	0.4342105263157895	0.1161392971149413	0.04474938674484639	0.03679465043427549
183	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009520	OP-Strand-seq	Human	HG001	PAIRED	SRR15009520	1606184	1493164	0.49503	0.4391213307615584	0.4342105263157895	0.1222832769425153	0.03925044043854944	0.03301266461033894
184	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009521	OP-Strand-seq	Human	HG001	PAIRED	SRR15009521	1467198	1373440	0.49418	0.4366098866442937	0.4324324324324325	0.1226519354000759	0.03584633928412925	0.03054893408852951
185	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009522	OP-Strand-seq	Human	HG001	PAIRED	SRR15009522	528	512	0.047727	0.4410065514755275	0.4342105263157895	1.788617886178862	1.273460195406463e-05	1.099303765864232e-05
186	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009523	OP-Strand-seq	Human	HG001	PAIRED	SRR15009523	745696	719290	0.49107	0.4423969551491049	0.4342105263157895	0.1446151314629588	0.01817813542013144	0.01595531816208896
187	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009524	OP-Strand-seq	Human	HG001	PAIRED	SRR15009524	1714752	1596174	0.494512	0.4367860171444601	0.4342105263157895	0.1185815617814688	0.04199766263636782	0.03584682276213418
188	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009525	OP-Strand-seq	Human	HG001	PAIRED	SRR15009525	517682	486298	0.004547	0.4481969777426839	0.4473684210526316	0.2009096378088481	0.0127989580939081	0.01075594074068111
189	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009526	OP-Strand-seq	Human	HG001	PAIRED	SRR15009526	698834	674576	0.491392	0.4417340353270314	0.4342105263157895	0.1503155407327297	0.01708280834781415	0.01504287412338977
190	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009527	OP-Strand-seq	Human	HG001	PAIRED	SRR15009527	1616766	1464226	0.493224	0.4398480858533619	0.4342105263157895	0.1214274075751	0.03936866507161452	0.03193528396330358
191	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009528	OP-Strand-seq	Human	HG001	PAIRED	SRR15009528	2002890	1819088	0.494649	0.4450464064052149	0.4342105263157895	0.1233622125030727	0.04893671426724205	0.03983505752036259
192	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009529	OP-Strand-seq	Human	HG001	PAIRED	SRR15009529	1441780	1353620	0.454141	0.450606845560444	0.4473684210526316	0.2091986006947277	0.03559587054716001	0.02977640406271757
193	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009530	OP-Strand-seq	Human	HG001	PAIRED	SRR15009530	1885822	1721876	0.473534	0.443374719436447	0.4342105263157895	0.1623483611337921	0.04648874860665205	0.03833702005254103
194	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009531	OP-Strand-seq	Human	HG001	PAIRED	SRR15009531	1678062	1554200	0.494309	0.4428123665626889	0.4342105263157895	0.1217509294689137	0.04099691186180875	0.03392313891095046
195	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009532	OP-Strand-seq	Human	HG001	PAIRED	SRR15009532	1469760	1374662	0.495819	0.4388821349854443	0.4342105263157895	0.1228227099426959	0.03594339801535591	0.03045427466038051
196	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009533	OP-Strand-seq	Human	HG001	PAIRED	SRR15009533	1819792	1679620	0.495755	0.4376184417276643	0.4342105263157895	0.1197895578652999	0.04447300880420195	0.03740074228732878
197	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009534	OP-Strand-seq	Human	HG001	PAIRED	SRR15009534	1712722	1589780	0.493364	0.4406014044757927	0.4342105263157895	0.1210429097287744	0.04179857856784815	0.0347587725555298
198	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009535	OP-Strand-seq	Human	HG001	PAIRED	SRR15009535	1620230	1512306	0.4924020000000001	0.440378765946969	0.4342105263157895	0.1218479774318393	0.03958502843533451	0.03312404402963652
199	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009536	OP-Strand-seq	Human	HG001	PAIRED	SRR15009536	729082	683416	0.004699	0.4506753401522029	0.4473684210526316	0.1590472259527125	0.01777726224104587	0.01489142585573907
200	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009537	OP-Strand-seq	Human	HG001	PAIRED	SRR15009537	1757710	1631048	0.49385	0.4443440775094163	0.4342105263157895	0.1248217487818153	0.04296439464632743	0.03577064332420204
201	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009538	OP-Strand-seq	Human	HG001	PAIRED	SRR15009538	379676	368136	0.485886	0.4572517772698701	0.4533333333333333	0.1917361115066729	0.009316077850758091	0.008061209645509191
202	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009539	OP-Strand-seq	Human	HG001	PAIRED	SRR15009539	1096714	1015722	0.492853	0.4540393843854175	0.4473684210526316	0.1426941113001619	0.02676593991730068	0.02208705195948067
203	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009540	OP-Strand-seq	Human	HG001	PAIRED	SRR15009540	833058	787556	0.4886	0.4519907785904263	0.4473684210526316	0.1747315844521762	0.02041009076029282	0.01753621019474368
204	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009541	OP-Strand-seq	Human	HG001	PAIRED	SRR15009541	740870	698326	0.491875	0.4520283467307573	0.4473684210526316	0.1597562747448331	0.01805932852650504	0.01552483108563725
205	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009542	OP-Strand-seq	Human	HG001	PAIRED	SRR15009542	1573138	1477360	0.49203	0.4381633339108014	0.4342105263157895	0.1208156708504003	0.03845042520989664	0.03297720097693917
206	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009543	OP-Strand-seq	Human	HG001	PAIRED	SRR15009543	538	528	0.107955	0.4488521541936176	0.4473684210526316	1.808764940239044	1.288903665491695e-05	1.130190706034694e-05
207	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009544	OP-Strand-seq	Human	HG001	PAIRED	SRR15009544	1718166	1568094	0.495162	0.4398032911516948	0.4342105263157895	0.122474487009914	0.04190520946792042	0.03442750907872389
208	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009545	OP-Strand-seq	Human	HG001	PAIRED	SRR15009545	1325032	1237286	0.493024	0.4385846178594464	0.4342105263157895	0.1281190968173108	0.03238379781282077	0.02740899001165816
209	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009546	OP-Strand-seq	Human	HG001	PAIRED	SRR15009546	1693688	1563634	0.493779	0.4410654098830805	0.4342105263157895	0.1207211633198995	0.04137635235658842	0.03445278245664873
210	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009547	OP-Strand-seq	Human	HG001	PAIRED	SRR15009547	661474	622894	0.039072	0.4417317517599451	0.4342105263157895	0.1680311113663931	0.01615267875326015	0.0135824234182788
211	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009548	OP-Strand-seq	Human	HG001	PAIRED	SRR15009548	294	286	0.0	0.4347289500842159	0.4210526315789473	1.941176470588236	7.025039759265909e-06	5.924518602741804e-06
212	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009549	OP-Strand-seq	Human	HG001	PAIRED	SRR15009549	1422614	1337230	0.494582	0.4370361147938784	0.4324324324324325	0.1263545928498931	0.03476516176953871	0.02962141005781353
213	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009550	OP-Strand-seq	Human	HG001	PAIRED	SRR15009550	1556024	1432922	0.493358	0.4393476555577908	0.4342105263157895	0.1275145043476211	0.03801779448240585	0.03176996126821529
214	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009551	OP-Strand-seq	Human	HG001	PAIRED	SRR15009551	750182	723036	0.4939310000000001	0.4395709506016087	0.4342105263157895	0.1480836236933798	0.01829369883721404	0.01612141685676645
215	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009552	OP-Strand-seq	Human	HG001	PAIRED	SRR15009552	1599540	1496092	0.495227	0.4411378552376222	0.4342105263157895	0.1215365017203752	0.0390691170562796	0.03328052116419019
216	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009553	OP-Strand-seq	Human	HG001	PAIRED	SRR15009553	678952	645168	0.49277	0.4548155663027992	0.4473684210526316	0.1616498915188986	0.01659051573886436	0.01421153195479943
217	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009554	OP-Strand-seq	Human	HG001	PAIRED	SRR15009554	1661274	1518822	0.493968	0.4397213423652401	0.4342105263157895	0.1236422409000956	0.04049056778203682	0.03343885151515408
218	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009555	OP-Strand-seq	Human	HG001	PAIRED	SRR15009555	1836536	1667290	0.494889	0.4431974956318721	0.4342105263157895	0.1202912454247688	0.04484856964886157	0.03639142073469831
219	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009556	OP-Strand-seq	Human	HG001	PAIRED	SRR15009556	1386980	1290926	0.494037	0.4398912644383247	0.4342105263157895	0.1270021291673009	0.03384189721482867	0.02851466386110664
220	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009557	OP-Strand-seq	Human	HG001	PAIRED	SRR15009557	1726556	1572096	0.494883	0.4367488582642967	0.4324324324324325	0.1192722290503919	0.04212179300543688	0.03373216892509179
221	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009558	OP-Strand-seq	Human	HG001	PAIRED	SRR15009558	714838	670166	0.011953	0.4448438152368089	0.44	0.1791680611552308	0.01751174829465012	0.01455503368599608
222	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009559	OP-Strand-seq	Human	HG001	PAIRED	SRR15009559	1661586	1541114	0.493623	0.438265812955224	0.4342105263157895	0.1187924209695282	0.04055549157375368	0.03385876224937873
223	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009560	OP-Strand-seq	Human	HG001	PAIRED	SRR15009560	1484632	1390454	0.495268	0.4389022117798232	0.4342105263157895	0.1214400109298742	0.03624752481087557	0.03060695214477177
224	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009561	OP-Strand-seq	Human	HG001	PAIRED	SRR15009561	1745772	1621452	0.495038	0.4378645379742572	0.4342105263157895	0.117345237847186	0.0426433652510602	0.0359255900247833
225	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009562	OP-Strand-seq	Human	HG001	PAIRED	SRR15009562	1559024	1451596	0.495575	0.435375304852986	0.4266666666666667	0.1206248057647568	0.03817273318299134	0.0325428832938197
226	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009563	OP-Strand-seq	Human	HG001	PAIRED	SRR15009563	1527076	1432778	0.493909	0.4425210892155552	0.4342105263157895	0.125248225071137	0.03727470235405322	0.0311873250549187
227	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009564	OP-Strand-seq	Human	HG001	PAIRED	SRR15009564	1872532	1738122	0.494041	0.4416443539655825	0.4342105263157895	0.1162825432290655	0.04575797890655865	0.0387538379188378
228	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009565	OP-Strand-seq	Human	HG001	PAIRED	SRR15009565	370772	359750	0.48915	0.4542631248061572	0.4473684210526316	0.1905802791809753	0.009049403557150537	0.007908115813512254
229	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009566	OP-Strand-seq	Human	HG001	PAIRED	SRR15009566	892676	837546	0.4946	0.4521906487288747	0.4473684210526316	0.1484532556817896	0.02179850637310375	0.01826137502823903
230	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009567	OP-Strand-seq	Human	HG001	PAIRED	SRR15009567	710496	672042	0.492308	0.4567888988946976	0.4533333333333333	0.1634081356949865	0.01736324089500778	0.0146677508437159
231	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009568	OP-Strand-seq	Human	HG001	PAIRED	SRR15009568	866196	819324	0.492491	0.4451930095109472	0.4383561643835616	0.1421218216514518	0.02113608759334772	0.01831273743583083
232	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009569	OP-Strand-seq	Human	HG001	PAIRED	SRR15009569	687126	642234	0.004419	0.4306181386426826	0.4210526315789473	0.1449486447743921	0.0167478516555721	0.01417320745334896
233	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009570	OP-Strand-seq	Human	HG001	PAIRED	SRR15009570	68	68	0.0	0.4567850662934774	0.4605263157894737	2.0	1.418086205799233e-06	1.132868965486412e-06
234	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009571	OP-Strand-seq	Human	HG001	PAIRED	SRR15009571	1569610	1471746	0.494216	0.4401676290900477	0.4342105263157895	0.1245428128021021	0.0383492489156324	0.03272814615226489
235	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009572	OP-Strand-seq	Human	HG001	PAIRED	SRR15009572	1454278	1334304	0.4833229999999999	0.4410208245929919	0.4342105263157895	0.1613381814071345	0.03575531394101293	0.02956082504640845
236	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009573	OP-Strand-seq	Human	HG001	PAIRED	SRR15009573	1716918	1570738	0.493963	0.4399153885772569	0.4342105263157895	0.1228545618789521	0.04194281570888157	0.03465701539200785
237	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009574	OP-Strand-seq	Human	HG001	PAIRED	SRR15009574	1300504	1216644	0.49213	0.4403662525893425	0.4342105263157895	0.1289887282320803	0.03180572055363245	0.02670317751574394
238	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009575	OP-Strand-seq	Human	HG001	PAIRED	SRR15009575	1682162	1550834	0.494963	0.439703202779675	0.4342105263157895	0.1202095144262304	0.04110020641582116	0.03402056285937507
239	20210729_PRJNA742746_HG001	20210729_PRJNA742746_HG001.SRR15009576	OP-Strand-seq	Human	HG001	PAIRED	SRR15009576	1494944	1385530	0.492746	0.4368389229782702	0.4328358208955224	0.1252489140401412	0.03607454229375535	0.03049482837804216
