Run,Assay Type,BioProject,BioSample,Center Name,Consent,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region,AvgSpotLen,Bases,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,sex,Population,Super_Population_Code,Cell_Line,Cell_type,common_name,External_Id,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,sample_name,Submitter_Id,disease,CULTURE_COLLECTION,DNA-ID,Population_Description,Super_Population_Description,Family_Id,Broker_name,Coriell_panel,Genotype,relationship,Coriell_plate,HapMap_sample_ID,BIOMATERIAL_PROVIDER,BioSampleModel,Isolate,tissue,AssemblyName,AGE,Collection,ETHNICITY,family_role,Race,tag,Isolation_source,sample_type,well_information,Individual,organism_part,fosmid_library_name,fosmid_library_source,relationship_type,Chinese_Code,local_family_id,type,xenograft
SRR15009479,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321929,NextSeq 550,na12878-bespoke-fdu-f5-r2-c5,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,324821403,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",152,860910368,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009480,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321928,NextSeq 550,na12878-bespoke-fdu-f5-r2-c4,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,413609910,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",152,1098405504,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009481,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321927,NextSeq 550,na12878-icell8-fdu-33quickligase-r03-c07,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,18092870,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",152,44008864,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009482,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321926,NextSeq 550,na12878-bespoke-fdu-f5-r2-c3,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,496727972,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",152,1327052416,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009483,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321925,NextSeq 550,na12878-bespoke-fdu-f5-r2-c2,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,135255945,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",152,359432120,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009484,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321924,NextSeq 550,na12878-bespoke-fdu-f5-r2-c1,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,524723990,"fastq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",152,1398140384,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009485,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321923,NextSeq 550,na12878-bespoke-fdu-f5-r1-c7,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,325984650,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",152,872277992,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009486,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321922,NextSeq 550,na12878-bespoke-fdu-f5-r1-c6,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,477747417,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",152,1272089064,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009487,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321921,NextSeq 550,na12878-bespoke-fdu-f5-r1-c5,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,350428092,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",152,936949888,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009488,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321920,NextSeq 550,na12878-bespoke-fdu-f5-r1-c4,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,579822387,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",152,1547093240,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009489,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321919,NextSeq 550,na12878-bespoke-fdu-f5-r1-c3,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,327405591,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",152,872823976,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009490,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321918,NextSeq 550,na12878-bespoke-fdu-f5-r1-c2,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,455660408,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",152,1212330720,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009491,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321917,NextSeq 550,na12878-bespoke-fdu-f5-r1-c1,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,401134773,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",152,1076207728,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009492,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321916,NextSeq 550,na12878-icell8-fdu-33quickligase-r03-c05,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,16918411,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",152,40910344,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009493,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321915,NextSeq 550,negativecontrol-icell8-r23-c23,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,650728,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",152,1302184,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009494,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321914,NextSeq 550,negativecontrol-icell8-r23-c15,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,438555,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",152,790704,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009495,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321913,NextSeq 550,negativecontrol-icell8-r23-c07,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,1127300,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",152,2317848,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009496,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321912,NextSeq 550,negativecontrol-icell8-r15-c23,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,621398,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",152,1224968,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009497,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321911,NextSeq 550,negativecontrol-icell8-r15-c15,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,783002,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",152,1547056,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009498,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321910,NextSeq 550,negativecontrol-icell8-r15-c07,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,443760,"fastq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",152,804992,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009499,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321909,NextSeq 550,negativecontrol-icell8-r07-c23,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,471670,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",152,890416,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009500,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321908,NextSeq 550,negativecontrol-icell8-r07-c15,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,255829,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",152,386080,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009501,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321907,NextSeq 550,negativecontrol-icell8-r07-c07,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,336816,"sra,fastq","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",152,566352,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009502,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321906,NextSeq 550,na12878-icell8-nobrdu-codexis-r23-c22,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,70321431,"sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",152,172671240,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009503,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321905,NextSeq 550,na12878-icell8-fdu-33quickligase-r03-c03,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,16180656,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",152,39290024,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009504,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321904,NextSeq 550,na12878-icell8-nobrdu-codexis-r23-c21,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,53185564,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",152,129927168,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009505,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321903,NextSeq 550,na12878-icell8-nobrdu-codexis-r23-c20,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,69241281,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",152,169929920,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009506,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321902,NextSeq 550,na12878-icell8-nobrdu-codexis-r23-c19,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,61744301,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",152,151647056,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009507,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321901,NextSeq 550,na12878-icell8-nobrdu-codexis-r23-c18,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,56944404,"sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",152,139268632,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009508,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321900,NextSeq 550,na12878-icell8-nobrdu-codexis-r23-c17,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,67287171,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",152,164944168,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009509,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321899,NextSeq 550,na12878-icell8-nobrdu-codexis-r23-c13,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,52196991,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",152,128311864,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009510,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321898,NextSeq 550,na12878-icell8-nobrdu-codexis-r23-c11,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,67109611,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",152,164376600,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009511,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321897,NextSeq 550,na12878-icell8-nobrdu-codexis-r23-c09,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,15248665,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",152,37240608,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009512,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321896,NextSeq 550,na12878-icell8-nobrdu-codexis-r23-c05,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,34409420,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",152,83875424,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009513,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321895,NextSeq 550,na12878-icell8-nobrdu-codexis-r23-c03,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,33392487,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",152,81447224,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
SRR15009514,OTHER,PRJNA742746,SAMN19974671,LANSDORP LAB,public,SRX11321894,NextSeq 550,na12878-icell8-fdu-33quickligase-r03-c01,PAIRED,MNase,GENOMIC SINGLE CELL,Homo sapiens,ILLUMINA,2021-07-29T00:00:00Z,NA12878_for_Strand_seq,SRP326369,13895691,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",152,33725608,,,,,female,,,B lymphocyte,,,,,,,,,,,,,,,,,,,,,,,Coriell,Human,NA12878,cell line,,,,,,,,,,,,,,,,,,,
