Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Cell_Line,Cell_type,Center Name,Collection,Consent,Coriell_plate,CULTURE_COLLECTION,DATASTORE filetype,DATASTORE provider,DATASTORE region,DNA-ID,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),ETHNICITY,Experiment,Family_Id,family_role,HapMap_sample_ID,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,Population_Description,population,race,ReleaseDate,Sample Name,sex,SRA Study,Super_Population_Code,Super_Population_Description,tag
ERR1429055,WGS,51,20837223,PRJEB14185,SAMN00801888,9495537,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499433,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_34,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429056,WGS,51,17891463,PRJEB14185,SAMN00801888,8199075,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499434,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_36,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429057,WGS,51,27159642,PRJEB14185,SAMN00801888,12295303,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499435,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_37,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429058,WGS,51,27911994,PRJEB14185,SAMN00801888,12664715,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499436,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_38,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429059,WGS,51,14740530,PRJEB14185,SAMN00801888,6745545,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499437,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_39,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429060,WGS,51,24029007,PRJEB14185,SAMN00801888,10964022,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499438,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_41,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429061,WGS,51,25191858,PRJEB14185,SAMN00801888,11447361,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499439,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_42,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429062,WGS,51,18486327,PRJEB14185,SAMN00801888,8447437,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499440,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_43,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429063,WGS,51,13647855,PRJEB14185,SAMN00801888,6272948,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499441,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_45,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429064,WGS,51,14171523,PRJEB14185,SAMN00801888,6515394,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499442,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_46,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429065,WGS,51,19592364,PRJEB14185,SAMN00801888,8949241,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499443,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_53,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429066,WGS,51,18405900,PRJEB14185,SAMN00801888,8427668,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499444,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_54,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429067,WGS,51,23992848,PRJEB14185,SAMN00801888,10898104,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499445,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_56,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429068,WGS,51,27013731,PRJEB14185,SAMN00801888,12263835,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499446,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_58,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429069,WGS,51,17963883,PRJEB14185,SAMN00801888,8237595,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499447,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_60,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429070,WGS,51,29124417,PRJEB14185,SAMN00801888,13225759,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499448,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_61,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429071,WGS,51,25745820,PRJEB14185,SAMN00801888,11697410,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499449,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_62,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429072,WGS,51,15772617,PRJEB14185,SAMN00801888,7228257,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499450,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_69,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429073,WGS,51,21707385,PRJEB14185,SAMN00801888,9915549,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499451,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_70,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429074,WGS,51,23197095,PRJEB14185,SAMN00801888,10629127,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499452,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_71,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429075,WGS,51,10302357,PRJEB14185,SAMN00801888,4783287,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499453,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_72,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429076,WGS,51,31247853,PRJEB14185,SAMN00801888,14190841,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499454,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_73,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
ERR1429077,WGS,51,30104790,PRJEB14185,SAMN00801888,13674961,GM12878,B-Lymphocyte,"ERIBA, RUG , UMC GRONINGEN",NIGMS Human Genetic Cell Repository,public,HAPMAPPT01,Coriell:GM12878,"fastq,sra","ena,gs,s3","ena,gs.US,s3.us-east-1",NA12878,2016/9/12,2018/11/16,UTAH/MORMON,ERX1499455,1463,mother,NA12878,Illumina HiSeq 2500,GM12878_ML216_75,SINGLE,MNase,GENOMIC,Homo sapiens,ILLUMINA,Utah Residents (CEPH) with Northern and Western European ancestry,CEU,Caucasian,2016-09-28T00:00:00Z,NA12878,female,ERP015812,EUR,European,Ceph/utah pedigree 1463
