Chrom	Bin	Start	End	Width	Crick	Crick.HP1	Crick.HP2	Watson	Watson.HP1	Watson.HP2
chr1	32	64000000	66000000	2000000	129	2	44	108	58	2
chr1	33	66000000	68000000	2000000	95	1	73	109	73	0
chr1	34	68000000	70000000	2000000	105	2	71	131	85	2
chr1	35	70000000	72000000	2000000	146	2	78	92	58	1
chr1	36	72000000	74000000	2000000	146	1	38	121	46	0
chr1	37	74000000	76000000	2000000	98	1	63	163	94	3
chr1	38	76000000	78000000	2000000	114	0	72	158	99	1
chr1	39	78000000	80000000	2000000	138	0	95	93	78	0
chr1	40	80000000	82000000	2000000	117	3	86	107	48	0
chr1	41	82000000	84000000	2000000	115	1	69	106	56	2
chr1	42	84000000	86000000	2000000	90	0	57	134	82	4
chr1	43	86000000	88000000	2000000	109	1	38	147	64	0
chr1	44	88000000	90000000	2000000	48	0	24	130	80	0
chr1	45	90000000	92000000	2000000	60	1	12	136	46	1
chr1	46	92000000	94000000	2000000	130	4	66	130	74	1
chr1	47	94000000	96000000	2000000	109	4	49	135	55	3
chr1	48	96000000	98000000	2000000	89	0	23	112	37	3
chr1	49	98000000	100000000	2000000	89	2	51	126	78	2
chr1	50	100000000	102000000	2000000	158	2	62	100	36	2
chr1	51	102000000	104000000	2000000	90	4	29	63	25	1
chr1	52	104000000	106000000	2000000	105	0	64	109	74	0
chr1	53	106000000	108000000	2000000	70	1	33	125	64	2
chr1	54	108000000	110000000	2000000	100	1	55	88	23	2
chr1	55	110000000	112000000	2000000	105	4	56	144	82	1
chr1	56	112000000	114000000	2000000	100	2	48	143	99	5
chr1	57	114000000	116000000	2000000	109	1	54	121	69	0
chr1	58	116000000	118000000	2000000	125	3	36	101	36	3
chr1	59	118000000	120000000	2000000	114	1	57	143	87	2
chr1	60	120000000	122000000	2000000	17	0	7	84	28	7
chr1	61	122000000	124000000	2000000	0	0	0	0	0	0
chr1	62	124000000	126000000	2000000	0	0	0	0	0	0
chr1	63	126000000	128000000	2000000	0	0	0	0	0	0
chr1	64	128000000	130000000	2000000	0	0	0	0	0	0
chr1	65	130000000	132000000	2000000	0	0	0	0	0	0
chr1	66	132000000	134000000	2000000	0	0	0	0	0	0
chr1	67	134000000	136000000	2000000	0	0	0	0	0	0
chr1	68	136000000	138000000	2000000	0	0	0	0	0	0
chr1	69	138000000	140000000	2000000	0	0	0	0	0	0
chr1	70	140000000	142000000	2000000	0	0	0	0	0	0
chr1	71	142000000	144000000	2000000	11	0	0	7	0	0
chr1	72	144000000	146000000	2000000	37	0	0	47	0	0
chr1	73	146000000	148000000	2000000	45	28	1	51	0	28
chr1	74	148000000	150000000	2000000	44	8	6	53	5	0
chr1	75	150000000	152000000	2000000	94	3	51	83	57	0
chr1	76	152000000	154000000	2000000	104	1	52	123	82	0
chr1	77	154000000	156000000	2000000	70	3	39	88	57	2
chr1	78	156000000	158000000	2000000	112	2	47	124	63	1
chr1	79	158000000	160000000	2000000	86	3	54	68	33	0
chr1	80	160000000	162000000	2000000	107	1	73	83	34	2
chr1	81	162000000	164000000	2000000	108	3	54	102	39	1
chr1	82	164000000	166000000	2000000	125	2	102	103	60	1
chr1	83	166000000	168000000	2000000	129	2	80	72	48	2
chr1	84	168000000	170000000	2000000	117	1	68	135	92	6
chr1	85	170000000	172000000	2000000	89	1	36	128	65	4
chr1	86	172000000	174000000	2000000	126	6	75	124	83	5
chr1	87	174000000	176000000	2000000	114	3	91	78	50	4
chr1	88	176000000	178000000	2000000	90	1	45	108	49	1
chr1	89	178000000	180000000	2000000	104	2	46	98	23	1
chr1	90	180000000	182000000	2000000	112	1	57	136	102	5
chr1	91	182000000	184000000	2000000	127	0	62	135	71	1
chr1	92	184000000	186000000	2000000	104	3	50	155	88	4
chr1	93	186000000	188000000	2000000	158	3	45	151	56	0
chr1	94	188000000	190000000	2000000	102	0	43	149	87	3
chr1	95	190000000	192000000	2000000	94	3	77	131	98	1
chr1	96	192000000	194000000	2000000	133	1	86	94	37	6
chr1	97	194000000	196000000	2000000	125	5	63	112	46	1
chr1	98	196000000	198000000	2000000	112	1	77	97	55	3
chr1	99	198000000	200000000	2000000	125	2	66	126	67	0
chr1	100	200000000	202000000	2000000	97	3	70	112	76	0
chr1	101	202000000	204000000	2000000	113	0	63	120	51	2
chr1	102	204000000	206000000	2000000	124	0	77	105	67	3
chr1	103	206000000	208000000	2000000	76	2	41	116	57	0
chr1	104	208000000	210000000	2000000	96	1	46	132	70	0
chr1	105	210000000	212000000	2000000	91	2	36	112	53	2
chr1	106	212000000	214000000	2000000	139	1	80	131	86	0
chr1	107	214000000	216000000	2000000	86	2	46	94	39	1
chr1	108	216000000	218000000	2000000	136	2	80	101	61	1
chr1	109	218000000	220000000	2000000	128	0	55	146	75	0
chr1	110	220000000	222000000	2000000	130	2	80	113	83	3
chr1	111	222000000	224000000	2000000	72	1	49	99	56	0
chr1	112	224000000	226000000	2000000	114	0	57	121	72	3
chr1	113	226000000	228000000	2000000	124	3	79	129	64	3
chr1	114	228000000	230000000	2000000	112	1	53	104	62	0
chr1	115	230000000	232000000	2000000	90	1	70	153	121	2
chr1	116	232000000	234000000	2000000	152	1	109	107	84	2
chr1	117	234000000	236000000	2000000	69	1	55	81	65	2
chr1	118	236000000	238000000	2000000	167	1	84	121	56	2
chr1	119	238000000	240000000	2000000	112	2	23	156	49	1
chr1	120	240000000	242000000	2000000	135	1	94	134	66	5
chr1	121	242000000	244000000	2000000	91	2	32	159	83	6
chr1	122	244000000	246000000	2000000	127	2	70	127	65	2
chr1	123	246000000	248000000	2000000	133	0	63	135	92	3
chr1	124	248000000	248956422	956422	50	1	30	22	7	0
chr2	0	0	2000000	2000000	75	41	1	170	4	77
chr2	1	2000000	4000000	2000000	115	65	1	94	1	36
chr2	2	4000000	6000000	2000000	142	69	2	108	4	67
chr2	3	6000000	8000000	2000000	114	64	1	88	1	52
chr2	4	8000000	10000000	2000000	119	79	0	118	2	69
chr2	5	10000000	12000000	2000000	91	57	1	109	0	79
chr2	6	12000000	14000000	2000000	110	50	0	152	4	93
chr2	7	14000000	16000000	2000000	125	81	4	82	0	37
chr2	8	16000000	18000000	2000000	130	67	6	121	3	60
chr2	9	18000000	20000000	2000000	93	58	1	123	0	87
chr2	10	20000000	22000000	2000000	112	59	2	120	6	52
chr2	11	22000000	24000000	2000000	122	70	4	157	2	82
chr2	12	24000000	26000000	2000000	95	49	1	130	3	76
chr2	13	26000000	28000000	2000000	113	71	5	91	3	42
chr2	14	28000000	30000000	2000000	122	92	4	102	1	77
chr2	15	30000000	32000000	2000000	56	46	2	103	1	74
chr2	16	32000000	34000000	2000000	108	56	3	129	4	75
chr2	17	34000000	36000000	2000000	73	40	1	117	5	84
chr2	18	36000000	38000000	2000000	91	35	0	132	9	51
chr2	19	38000000	40000000	2000000	122	65	1	120	1	67
chr2	20	40000000	42000000	2000000	130	91	4	114	2	91
chr2	21	42000000	44000000	2000000	141	108	2	67	0	48
chr2	22	44000000	46000000	2000000	146	64	6	111	1	76
chr2	23	46000000	48000000	2000000	89	40	0	72	2	28
chr2	24	48000000	50000000	2000000	118	85	2	85	1	58
chr2	25	50000000	52000000	2000000	138	113	0	130	1	85
chr2	26	52000000	54000000	2000000	97	41	2	133	0	54
chr2	27	54000000	56000000	2000000	126	101	3	80	1	63
chr2	28	56000000	58000000	2000000	123	61	3	115	1	76
chr2	29	58000000	60000000	2000000	84	42	1	115	0	65
chr2	30	60000000	62000000	2000000	110	67	2	125	7	81
chr2	31	62000000	64000000	2000000	157	73	1	102	0	37
chr2	32	64000000	66000000	2000000	123	66	3	116	2	86
chr2	33	66000000	68000000	2000000	114	50	0	135	1	88
chr2	34	68000000	70000000	2000000	132	78	1	93	0	42
chr2	35	70000000	72000000	2000000	109	45	2	136	2	61
chr2	36	72000000	74000000	2000000	95	47	0	115	2	64
chr2	37	74000000	76000000	2000000	74	25	0	99	1	34
chr2	38	76000000	78000000	2000000	134	69	0	108	0	50
chr2	39	78000000	80000000	2000000	128	63	0	140	0	88
chr2	40	80000000	82000000	2000000	84	17	0	82	2	34
chr2	41	82000000	84000000	2000000	115	67	0	123	0	52
chr2	42	84000000	86000000	2000000	78	41	1	91	0	52
chr2	43	86000000	88000000	2000000	110	37	0	103	1	40
chr2	44	88000000	90000000	2000000	32	8	0	24	0	21
chr2	45	90000000	92000000	2000000	0	0	0	4	0	0
chr2	46	92000000	94000000	2000000	0	0	0	0	0	0
chr2	47	94000000	96000000	2000000	51	15	2	44	1	16
chr2	48	96000000	98000000	2000000	80	7	0	95	0	11
chr2	49	98000000	100000000	2000000	122	67	0	106	2	37
chr2	50	100000000	102000000	2000000	135	64	1	111	0	59
chr2	51	102000000	104000000	2000000	105	23	1	140	0	50
chr2	52	104000000	106000000	2000000	113	75	1	134	1	93
chr2	53	106000000	108000000	2000000	171	107	1	102	2	65
chr2	54	108000000	110000000	2000000	118	63	2	112	1	49
chr2	55	110000000	112000000	2000000	65	19	2	61	2	25
chr2	56	112000000	114000000	2000000	119	73	2	99	2	74
chr2	57	114000000	116000000	2000000	103	53	3	108	3	42
chr2	58	116000000	118000000	2000000	123	78	2	130	1	75
chr2	59	118000000	120000000	2000000	143	60	3	88	1	54
chr2	60	120000000	122000000	2000000	93	37	0	119	2	42
chr2	61	122000000	124000000	2000000	98	54	4	108	1	70
chr2	62	124000000	126000000	2000000	126	48	1	94	1	36
chr2	63	126000000	128000000	2000000	152	99	5	149	5	120
chr2	64	128000000	130000000	2000000	81	54	2	127	0	106
chr2	65	130000000	132000000	2000000	12	7	1	90	12	36
chr2	66	132000000	134000000	2000000	113	69	2	84	2	45
chr2	67	134000000	136000000	2000000	125	27	0	134	1	14
chr2	68	136000000	138000000	2000000	130	55	1	148	1	66
chr2	69	138000000	140000000	2000000	97	68	2	123	1	77
chr2	70	140000000	142000000	2000000	160	117	7	103	1	78
chr2	71	142000000	144000000	2000000	132	51	2	133	1	60
chr2	72	144000000	146000000	2000000	145	67	2	89	0	19
chr2	73	146000000	148000000	2000000	114	72	3	139	2	78
chr2	74	148000000	150000000	2000000	151	74	3	72	5	40
chr2	75	150000000	152000000	2000000	87	51	0	125	2	65
chr2	76	152000000	154000000	2000000	104	75	6	112	7	83
chr2	77	154000000	156000000	2000000	106	31	1	111	1	59
chr2	78	156000000	158000000	2000000	107	51	7	137	1	66
chr2	79	158000000	160000000	2000000	144	88	1	122	3	79
chr2	80	160000000	162000000	2000000	78	36	2	133	3	62
chr2	81	162000000	164000000	2000000	115	33	2	176	2	51
chr2	82	164000000	166000000	2000000	125	43	0	97	2	42
chr2	83	166000000	168000000	2000000	157	24	2	113	0	22
chr2	84	168000000	170000000	2000000	104	57	3	129	2	85
chr2	85	170000000	172000000	2000000	90	30	0	127	2	62
chr2	86	172000000	174000000	2000000	131	67	1	128	4	77
chr2	87	174000000	176000000	2000000	94	34	1	122	0	62
chr2	88	176000000	178000000	2000000	108	48	2	144	3	84
chr2	89	178000000	180000000	2000000	130	71	1	103	3	66
chr2	90	180000000	182000000	2000000	113	30	2	136	1	46
chr2	91	182000000	184000000	2000000	90	44	1	119	2	64
chr2	92	184000000	186000000	2000000	177	122	2	98	1	82
chr2	93	186000000	188000000	2000000	155	94	2	128	2	71
chr2	94	188000000	190000000	2000000	113	50	0	78	1	43
chr2	95	190000000	192000000	2000000	134	49	4	81	0	32
chr2	96	192000000	194000000	2000000	132	46	1	99	0	33
chr2	97	194000000	196000000	2000000	161	76	0	113	0	48
chr2	98	196000000	198000000	2000000	114	71	0	122	4	67
chr2	99	198000000	200000000	2000000	180	66	1	114	2	56
chr2	100	200000000	202000000	2000000	106	85	2	129	3	104
chr2	101	202000000	204000000	2000000	142	95	2	113	0	88
chr2	102	204000000	206000000	2000000	124	62	1	143	3	75
chr2	103	206000000	208000000	2000000	120	72	3	119	2	72
chr2	104	208000000	210000000	2000000	99	25	1	86	0	47
chr2	105	210000000	212000000	2000000	113	68	5	126	7	92
chr2	106	212000000	214000000	2000000	104	78	3	131	7	72
chr2	107	214000000	216000000	2000000	90	52	0	88	1	49
chr2	108	216000000	218000000	2000000	101	51	7	93	2	52
chr2	109	218000000	220000000	2000000	89	43	1	82	0	28
chr2	110	220000000	222000000	2000000	103	58	1	100	0	66
chr2	111	222000000	224000000	2000000	139	81	2	94	1	43
chr2	112	224000000	226000000	2000000	100	56	2	119	1	61
chr2	113	226000000	228000000	2000000	144	80	5	145	1	75
chr2	114	228000000	230000000	2000000	128	63	7	144	4	78
chr2	115	230000000	232000000	2000000	96	62	2	65	0	51
chr2	116	232000000	234000000	2000000	103	60	3	61	1	40
chr2	117	234000000	236000000	2000000	156	130	3	108	2	69
chr2	118	236000000	238000000	2000000	127	50	2	87	0	36
chr2	119	238000000	240000000	2000000	103	79	2	112	4	86
chr2	120	240000000	242000000	2000000	72	32	4	153	1	95
chr2	121	242000000	242193529	193529	0	0	0	5	1	4
chr3	0	0	2000000	2000000	99	66	0	108	2	89
chr3	1	2000000	4000000	2000000	149	105	2	108	4	61
chr3	2	4000000	6000000	2000000	76	41	1	121	3	72
chr3	3	6000000	8000000	2000000	73	58	2	152	0	115
chr3	4	8000000	10000000	2000000	77	40	3	119	1	77
chr3	5	10000000	12000000	2000000	133	78	2	72	3	34
chr3	6	12000000	14000000	2000000	137	84	3	109	1	61
chr3	7	14000000	16000000	2000000	129	76	1	108	2	44
chr3	8	16000000	18000000	2000000	98	62	0	59	0	30
chr3	9	18000000	20000000	2000000	123	83	3	145	2	97
chr3	10	20000000	22000000	2000000	111	68	0	137	4	96
chr3	11	22000000	24000000	2000000	117	68	6	97	1	70
chr3	12	24000000	26000000	2000000	144	105	5	95	1	78
chr3	13	26000000	28000000	2000000	155	100	1	86	1	51
chr3	14	28000000	30000000	2000000	147	96	1	105	0	78
chr3	15	30000000	32000000	2000000	134	52	3	105	1	38
chr3	16	32000000	34000000	2000000	133	94	2	115	0	62
chr3	17	34000000	36000000	2000000	95	60	3	107	3	75
chr3	18	36000000	38000000	2000000	95	44	6	116	1	45
chr3	19	38000000	40000000	2000000	152	63	2	84	2	55
chr3	20	40000000	42000000	2000000	99	42	1	146	2	87
chr3	21	42000000	44000000	2000000	78	63	2	113	1	63
chr3	22	44000000	46000000	2000000	36	25	0	76	1	39
chr3	23	46000000	48000000	2000000	81	68	5	117	2	86
chr3	24	48000000	50000000	2000000	64	5	1	81	5	2
chr3	25	50000000	52000000	2000000	123	23	2	113	0	18
chr3	26	52000000	54000000	2000000	108	22	0	84	0	25
chr3	27	54000000	56000000	2000000	113	46	0	113	4	74
chr3	28	56000000	58000000	2000000	87	50	7	94	2	68
chr3	29	58000000	60000000	2000000	129	74	2	114	1	70
chr3	30	60000000	62000000	2000000	63	47	0	108	3	87
chr3	31	62000000	64000000	2000000	153	90	1	174	6	113
chr3	32	64000000	66000000	2000000	136	88	4	110	2	74
chr3	33	66000000	68000000	2000000	107	75	2	141	2	72
chr3	34	68000000	70000000	2000000	109	66	2	135	1	86
chr3	35	70000000	72000000	2000000	78	55	2	81	3	61
chr3	36	72000000	74000000	2000000	125	59	2	125	3	63
chr3	37	74000000	76000000	2000000	99	48	0	115	1	69
chr3	38	76000000	78000000	2000000	98	58	2	130	4	94
chr3	39	78000000	80000000	2000000	149	68	1	112	3	43
chr3	40	80000000	82000000	2000000	106	77	1	120	11	71
chr3	41	82000000	84000000	2000000	156	57	0	130	0	51
chr3	42	84000000	86000000	2000000	116	84	4	146	2	99
chr3	43	86000000	88000000	2000000	106	52	0	145	4	64
chr3	44	88000000	90000000	2000000	138	50	4	134	4	49
chr3	45	90000000	92000000	2000000	19	10	0	30	1	14
chr3	46	92000000	94000000	2000000	0	0	0	0	0	0
chr3	47	94000000	96000000	2000000	92	28	1	128	2	17
chr3	48	96000000	98000000	2000000	131	65	2	163	1	65
chr3	49	98000000	100000000	2000000	121	53	0	134	2	77
chr3	50	100000000	102000000	2000000	128	55	2	105	2	54
chr3	51	102000000	104000000	2000000	105	50	1	113	3	54
chr3	52	104000000	106000000	2000000	149	101	1	133	2	68
chr3	53	106000000	108000000	2000000	121	57	0	136	5	50
chr3	54	108000000	110000000	2000000	70	37	1	108	3	81
chr3	55	110000000	112000000	2000000	123	50	0	95	1	28
chr3	56	112000000	114000000	2000000	89	37	2	116	2	73
chr3	57	114000000	116000000	2000000	119	51	2	134	2	54
chr3	58	116000000	118000000	2000000	153	86	1	86	0	51
chr3	59	118000000	120000000	2000000	75	39	2	109	0	49
chr3	60	120000000	122000000	2000000	84	32	1	122	3	74
chr3	61	122000000	124000000	2000000	72	40	1	108	0	47
chr3	62	124000000	126000000	2000000	128	57	4	119	1	51
chr3	63	126000000	128000000	2000000	74	26	1	138	2	78
chr3	64	128000000	130000000	2000000	104	49	0	139	2	75
chr3	65	130000000	132000000	2000000	107	67	0	127	4	71
chr3	66	132000000	134000000	2000000	117	90	0	122	0	62
chr3	67	134000000	136000000	2000000	138	98	2	93	0	50
chr3	68	136000000	138000000	2000000	102	40	2	133	1	85
chr3	69	138000000	140000000	2000000	99	69	2	84	0	60
chr3	70	140000000	142000000	2000000	104	30	0	107	0	25
chr3	71	142000000	144000000	2000000	120	74	5	97	4	52
chr3	72	144000000	146000000	2000000	113	84	4	163	1	112
chr3	73	146000000	148000000	2000000	173	92	0	117	2	68
chr3	74	148000000	150000000	2000000	105	54	2	100	1	37
chr3	75	150000000	152000000	2000000	142	97	2	120	1	67
chr3	76	152000000	154000000	2000000	137	93	2	120	0	79
chr3	77	154000000	156000000	2000000	95	49	1	122	6	68
chr3	78	156000000	158000000	2000000	116	45	1	91	1	32
chr3	79	158000000	160000000	2000000	69	49	1	128	14	78
chr3	80	160000000	162000000	2000000	4	4	0	252	86	64
chr3	81	162000000	164000000	2000000	0	0	0	208	82	56
chr3	82	164000000	166000000	2000000	6	0	5	193	32	40
chr3	83	166000000	168000000	2000000	0	0	0	228	76	83
chr3	84	168000000	170000000	2000000	0	0	0	231	53	63
chr3	85	170000000	172000000	2000000	1	0	0	255	72	104
chr3	86	172000000	174000000	2000000	0	0	0	244	76	73
chr3	87	174000000	176000000	2000000	7	2	4	257	62	73
chr3	88	176000000	178000000	2000000	0	0	0	217	51	22
chr3	89	178000000	180000000	2000000	5	0	0	231	69	57
chr3	90	180000000	182000000	2000000	0	0	0	216	42	30
chr3	91	182000000	184000000	2000000	0	0	0	195	21	38
chr3	92	184000000	186000000	2000000	1	0	1	190	35	56
chr3	93	186000000	188000000	2000000	5	5	0	212	57	74
chr3	94	188000000	190000000	2000000	0	0	0	213	72	56
chr3	95	190000000	192000000	2000000	10	1	0	197	82	74
chr3	96	192000000	194000000	2000000	3	0	0	211	78	33
chr3	97	194000000	196000000	2000000	0	0	0	213	59	84
chr3	98	196000000	198000000	2000000	0	0	0	181	54	61
chr3	99	198000000	198295559	295559	0	0	0	8	2	3
chr4	0	0	2000000	2000000	6	0	0	113	24	12
chr4	1	2000000	4000000	2000000	0	0	0	186	53	53
chr4	2	4000000	6000000	2000000	2	0	0	326	101	79
chr4	3	6000000	8000000	2000000	4	1	2	143	47	36
chr4	4	8000000	10000000	2000000	0	0	0	158	61	49
chr4	5	10000000	12000000	2000000	0	0	0	234	65	75
chr4	6	12000000	14000000	2000000	0	0	0	201	21	53
chr4	7	14000000	16000000	2000000	3	0	3	209	58	80
chr4	8	16000000	18000000	2000000	0	0	0	187	46	20
chr4	9	18000000	20000000	2000000	3	0	0	193	53	42
chr4	10	20000000	22000000	2000000	3	1	1	260	76	86
chr4	11	22000000	24000000	2000000	4	0	0	197	38	33
chr4	12	24000000	26000000	2000000	1	1	0	220	44	77
chr4	13	26000000	28000000	2000000	0	0	0	225	85	50
chr4	14	28000000	30000000	2000000	0	0	0	235	41	58
chr4	15	30000000	32000000	2000000	0	0	0	228	77	87
chr4	16	32000000	34000000	2000000	2	0	0	275	60	54
chr4	17	34000000	36000000	2000000	1	0	0	208	83	51
chr4	18	36000000	38000000	2000000	6	0	0	256	74	110
chr4	19	38000000	40000000	2000000	5	2	0	192	61	73
chr4	20	40000000	42000000	2000000	1	0	0	221	59	65
chr4	21	42000000	44000000	2000000	3	0	0	215	29	32
chr4	22	44000000	46000000	2000000	1	1	0	276	40	58
chr4	23	46000000	48000000	2000000	3	0	3	189	57	46
chr4	24	48000000	50000000	2000000	0	0	0	141	54	53
chr4	25	50000000	52000000	2000000	0	0	0	0	0	0
chr4	26	52000000	54000000	2000000	0	0	0	205	77	40
chr4	27	54000000	56000000	2000000	6	0	0	186	68	27
chr4	28	56000000	58000000	2000000	0	0	0	209	46	105
chr4	29	58000000	60000000	2000000	1	0	1	212	89	68
chr4	30	60000000	62000000	2000000	2	0	2	263	81	59
chr4	31	62000000	64000000	2000000	7	0	7	244	98	57
chr4	32	64000000	66000000	2000000	7	0	0	276	81	97
chr4	33	66000000	68000000	2000000	0	0	0	236	80	115
chr4	34	68000000	70000000	2000000	0	0	0	196	68	69
chr4	35	70000000	72000000	2000000	0	0	0	149	17	19
chr4	36	72000000	74000000	2000000	3	0	0	220	46	44
chr4	37	74000000	76000000	2000000	4	0	3	182	31	52
chr4	38	76000000	78000000	2000000	0	0	0	191	44	66
chr4	39	78000000	80000000	2000000	2	2	0	229	58	53
chr4	40	80000000	82000000	2000000	0	0	0	288	68	45
chr4	41	82000000	84000000	2000000	0	0	0	195	50	34
chr4	42	84000000	86000000	2000000	0	0	0	277	64	88
chr4	43	86000000	88000000	2000000	0	0	0	210	48	62
chr4	44	88000000	90000000	2000000	4	0	0	210	45	47
chr4	45	90000000	92000000	2000000	2	0	0	295	55	67
chr4	46	92000000	94000000	2000000	1	0	0	224	36	40
chr4	47	94000000	96000000	2000000	2	0	0	219	59	73
chr4	48	96000000	98000000	2000000	1	0	0	198	27	52
chr4	49	98000000	100000000	2000000	0	0	0	219	86	54
chr4	50	100000000	102000000	2000000	9	0	0	239	52	88
chr4	51	102000000	104000000	2000000	2	0	0	218	65	49
chr4	52	104000000	106000000	2000000	0	0	0	257	59	88
chr4	53	106000000	108000000	2000000	6	0	0	247	46	14
chr4	54	108000000	110000000	2000000	3	0	0	234	65	49
chr4	55	110000000	112000000	2000000	0	0	0	231	63	49
chr4	56	112000000	114000000	2000000	1	1	0	265	73	113
chr4	57	114000000	116000000	2000000	1	1	0	211	66	94
chr4	58	116000000	118000000	2000000	2	0	2	235	58	73
chr4	59	118000000	120000000	2000000	0	0	0	252	111	76
chr4	60	120000000	122000000	2000000	2	0	0	210	58	85
chr4	61	122000000	124000000	2000000	6	0	0	245	75	95
chr4	62	124000000	126000000	2000000	0	0	0	202	75	70
chr4	63	126000000	128000000	2000000	0	0	0	273	93	93
chr4	64	128000000	130000000	2000000	0	0	0	251	90	78
chr4	65	130000000	132000000	2000000	0	0	0	221	75	48
chr4	66	132000000	134000000	2000000	3	2	0	243	66	65
chr4	67	134000000	136000000	2000000	0	0	0	211	74	59
chr4	68	136000000	138000000	2000000	0	0	0	243	87	72
chr4	69	138000000	140000000	2000000	0	0	0	206	57	88
chr4	70	140000000	142000000	2000000	1	0	0	189	26	38
chr4	71	142000000	144000000	2000000	0	0	0	181	39	50
chr4	72	144000000	146000000	2000000	0	0	0	292	66	63
chr4	73	146000000	148000000	2000000	0	0	0	217	41	46
chr4	74	148000000	150000000	2000000	1	0	0	283	73	116
chr4	75	150000000	152000000	2000000	0	0	0	140	70	40
chr4	76	152000000	154000000	2000000	2	1	0	180	58	60
chr4	77	154000000	156000000	2000000	0	0	0	225	53	66
chr4	78	156000000	158000000	2000000	2	0	0	217	41	77
chr4	79	158000000	160000000	2000000	1	0	0	264	51	62
chr4	80	160000000	162000000	2000000	0	0	0	222	46	74
chr4	81	162000000	164000000	2000000	3	0	2	259	64	86
chr4	82	164000000	166000000	2000000	1	1	0	251	73	85
chr4	83	166000000	168000000	2000000	2	0	2	227	61	56
chr4	84	168000000	170000000	2000000	0	0	0	241	80	94
chr4	85	170000000	172000000	2000000	0	0	0	235	43	64
chr4	86	172000000	174000000	2000000	1	1	0	245	81	58
chr4	87	174000000	176000000	2000000	0	0	0	263	54	71
chr4	88	176000000	178000000	2000000	0	0	0	235	89	84
chr4	89	178000000	180000000	2000000	0	0	0	279	82	75
chr4	90	180000000	182000000	2000000	0	0	0	282	110	99
chr4	91	182000000	184000000	2000000	1	1	0	239	94	71
chr4	92	184000000	186000000	2000000	2	0	0	171	75	48
chr4	93	186000000	188000000	2000000	1	1	0	223	77	37
chr4	94	188000000	190000000	2000000	0	0	0	171	37	69
chr4	95	190000000	190214555	214555	0	0	0	0	0	0
chr5	0	0	2000000	2000000	166	61	75	0	0	0
chr5	1	2000000	4000000	2000000	284	126	96	5	3	0
chr5	2	4000000	6000000	2000000	237	58	58	6	0	0
chr5	3	6000000	8000000	2000000	219	85	72	4	0	2
chr5	4	8000000	10000000	2000000	251	85	67	0	0	0
chr5	5	10000000	12000000	2000000	277	97	55	7	0	0
chr5	6	12000000	14000000	2000000	273	72	80	0	0	0
chr5	7	14000000	16000000	2000000	237	87	58	0	0	0
chr5	8	16000000	18000000	2000000	271	88	110	1	1	0
chr5	9	18000000	20000000	2000000	241	82	60	1	0	0
chr5	10	20000000	22000000	2000000	208	63	37	10	2	0
chr5	11	22000000	24000000	2000000	226	57	42	3	2	0
chr5	12	24000000	26000000	2000000	220	80	89	1	0	0
chr5	13	26000000	28000000	2000000	196	49	52	0	0	0
chr5	14	28000000	30000000	2000000	221	63	99	1	1	0
chr5	15	30000000	32000000	2000000	252	74	75	7	3	0
chr5	16	32000000	34000000	2000000	245	89	89	3	0	1
chr5	17	34000000	36000000	2000000	243	66	56	0	0	0
chr5	18	36000000	38000000	2000000	214	95	56	1	1	0
chr5	19	38000000	40000000	2000000	242	60	69	1	0	0
