biosample,sample_name,library_ID,title,filename,LibraryStrategy,LibrarySource,LibrarySelection,LibraryLayout,Platform,InstrumentModel,DesignDescription,FileType
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0021,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0021.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0022,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0022.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0023,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0023.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0024,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0024.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0025,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0025.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0026,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0026.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0027,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0027.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0028,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0028.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0029,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0029.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0030,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0030.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0031,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0031.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0032,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0032.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0033,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0033.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0034,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0034.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0035,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0035.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0036,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0036.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0037,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0037.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0038,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0038.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0039,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0039.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0040,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0040.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0041,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0041.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0042,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0042.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0043,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0043.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0044,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0044.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0045,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0045.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0046,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0046.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0047,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0047.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0048,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0048.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0049,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0049.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0050,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0050.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0051,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0051.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0052,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0052.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0053,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0053.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0054,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0054.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0055,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0055.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0056,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0056.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0057,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0057.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0058,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0058.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0059,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0059.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0060,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0060.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0061,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0061.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0062,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0062.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0063,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0063.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0064,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0064.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0065,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0065.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0066,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0066.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0067,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0067.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0068,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0068.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0069,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0069.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0070,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0070.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0071,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0071.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0072,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0072.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0073,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0073.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0074,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0074.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0075,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0075.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
SAMN34371646,Mouse_MEF,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0076,NanoStrand-seq for mouse embryonic fibroblasts,NanoStrandseq_C57_6J_DBA_2N_MEF_sc0076.fastq.gz,WGS,GENOMIC SINGLE CELL,PCR,SINGLE,OXFORD_NANOPORE,PromethION,single cell template strand sequencing based on Nanopore platform,fastq
